,accentcity,city,country,geopoint,latitude,longitude,population,region,point_count
60735,Fridley,fridley,us,"[45.0861111, -93.2630556]",45.0861111,-93.2630556,26834.0,MN,6
60737,White Bear Lake,white bear lake,us,"[45.0847222, -93.0097222]",45.0847222,-93.0097222,24301.0,MN,5
60733,Shoreview,shoreview,us,"[45.0791667, -93.1469444]",45.0791667,-93.1469444,27622.0,MN,6
60732,Brooklyn Center,brooklyn center,us,"[45.0761111, -93.3325]",45.0761111,-93.3325,27718.0,MN,6
60712,Maple Grove,maple grove,us,"[45.0725, -93.4555556]",45.0725,-93.4555556,59902.0,MN,12
60798,Mahtomedi,mahtomedi,us,"[45.0697222, -92.9513889]",45.0697222,-92.9513889,8258.0,MN,2
60746,New Brighton,new brighton,us,"[45.0655556, -93.2016667]",45.0655556,-93.2016667,21295.0,MN,5
58082,Alpena,alpena,us,"[45.0616667, -83.4327778]",45.0616667,-83.4327778,10718.0,MI,3
60778,Vadnais Heights,vadnais heights,us,"[45.0575, -93.0736111]",45.0575,-93.0736111,13003.0,MN,3
60760,Stillwater,stillwater,us,"[45.0563889, -92.8058333]",45.0563889,-92.8058333,17746.0,MN,4
60759,Columbia Heights,columbia heights,us,"[45.0408333, -93.2627778]",45.0408333,-93.2627778,18235.0,MN,4
60752,New Hope,new hope,us,"[45.0380556, -93.3863889]",45.0380556,-93.3863889,19851.0,MN,4
60745,Crystal,crystal,us,"[45.0327778, -93.36]",45.0327778,-93.36,21834.0,MN,5
60776,Robbinsdale,robbinsdale,us,"[45.0322222, -93.3383333]",45.0322222,-93.3383333,13314.0,MN,3
60794,Little Canada,little canada,us,"[45.0269444, -93.0875]",45.0269444,-93.0875,9617.0,MN,2
60784,North Saint Paul,north saint paul,us,"[45.0125, -92.9916667]",45.0125,-92.9916667,11799.0,MN,3
60707,Plymouth,plymouth,us,"[45.0105556, -93.4552778]",45.0105556,-93.4552778,72239.0,MN,15
60750,Golden Valley,golden valley,us,"[45.0097222, -93.3488889]",45.0097222,-93.3488889,20325.0,MN,5
60727,Roseville,roseville,us,"[45.0061111, -93.1563889]",45.0061111,-93.1563889,32563.0,MN,7
95199,Keizer,keizer,us,"[44.9902778, -123.025]",44.9902778,-123.025,35537.0,OR,8
95209,Hayesville,hayesville,us,"[44.9861111, -122.9816667]",44.9861111,-122.9816667,20021.0,OR,5
60702,Minneapolis,minneapolis,us,"[44.98, -93.2636111]",44.98,-93.2636111,367773.0,MN,74
132192,Hudson,hudson,us,"[44.9747222, -92.7566667]",44.9747222,-92.7566667,11288.0,WI,3
60731,Oakdale,oakdale,us,"[44.9630556, -92.9647222]",44.9630556,-92.9647222,28143.0,MN,6
132139,Wausau,wausau,us,"[44.9591667, -89.63]",44.9591667,-89.63,36779.0,WI,8
60722,Maplewood,maplewood,us,"[44.9530556, -92.995]",44.9530556,-92.995,36400.0,MN,8
60721,Saint Louis Park,saint louis park,us,"[44.9483333, -93.3477778]",44.9483333,-93.3477778,44071.0,MN,9
60703,Saint Paul,saint paul,us,"[44.9444444, -93.0930556]",44.9444444,-93.0930556,274792.0,MN,55
95186,Salem,salem,us,"[44.9430556, -123.0338889]",44.9430556,-123.0338889,146922.0,OR,30
132183,Chippewa Falls,chippewa falls,us,"[44.9369444, -91.3927778]",44.9369444,-91.3927778,12607.0,WI,3
60796,Mound,mound,us,"[44.9366667, -93.6658333]",44.9366667,-93.6658333,9354.0,MN,2
128900,Newport,newport,us,"[44.9363889, -72.2055556]",44.9363889,-72.2055556,5167.0,VT,2
55989,Old Town,old town,us,"[44.9341667, -68.6458333]",44.9341667,-68.6458333,8134.0,ME,2
82850,Massena,massena,us,"[44.9280556, -74.8922222]",44.9280556,-74.8922222,10892.0,NY,3
60765,Hopkins,hopkins,us,"[44.925, -93.4625]",44.925,-93.4625,17073.0,MN,4
60717,Woodbury,woodbury,us,"[44.9238889, -92.9591667]",44.9238889,-92.9591667,50955.0,MN,11
95223,Dallas,dallas,us,"[44.9194444, -123.3158333]",44.9194444,-123.3158333,13852.0,OR,3
128905,Swanton,swanton,us,"[44.9180556, -73.1247222]",44.9180556,-73.1247222,1231.0,VT,1
60754,West Saint Paul,west saint paul,us,"[44.9161111, -93.1013889]",44.9161111,-93.1013889,19195.0,MN,4
60719,Minnetonka,minnetonka,us,"[44.9133333, -93.5030556]",44.9133333,-93.5030556,50117.0,MN,11
108831,Watertown,watertown,us,"[44.8994444, -97.1147222]",44.8994444,-97.1147222,20185.0,SD,5
60753,South Saint Paul,south saint paul,us,"[44.8927778, -93.0347222]",44.8927778,-93.0347222,19338.0,MN,4
132180,Weston,weston,us,"[44.8908333, -89.5475]",44.8908333,-89.5475,13080.0,WI,3
60720,Edina,edina,us,"[44.8897222, -93.3497222]",44.8897222,-93.3497222,45945.0,MN,10
60773,Hutchinson,hutchinson,us,"[44.8877778, -94.3694444]",44.8877778,-94.3694444,13759.0,MN,3
60787,Mendota Heights,mendota heights,us,"[44.8836111, -93.1380556]",44.8836111,-93.1380556,11195.0,MN,3
60724,Richfield,richfield,us,"[44.8833333, -93.2827778]",44.8833333,-93.2827778,33349.0,MN,7
