,zip_code,y-2016,lat,lon,major_city,radius_in_miles,state
374,1803,25698,42.51,-71.2,Burlington,4,MA
375,1810,34963,42.65,-71.17,Andover,6,MA
376,1821,31780,42.55,-71.26,Billerica,4,MA
377,1824,25803,42.59,-71.35,Chelmsford,4,MA
378,1826,30855,42.69,-71.31,Dracut,5,MA
379,1827,3310,42.67,-71.5,Dunstable,4,MA
380,1830,25882,42.8,-71.06,Haverhill,4,MA
381,1832,23305,42.79,-71.13,Haverhill,3,MA
382,1833,8514,42.72,-70.98,Georgetown,4,MA
383,1834,6681,42.75,-71.01,Groveland,3,MA
384,1835,13153,42.75,-71.09,Haverhill,3,MA
385,1840,5524,42.71,-71.16,Lawrence,0.909090909,MA
386,1841,47836,42.71,-71.16,Lawrence,2,MA
387,1843,25963,42.69,-71.16,Lawrence,2,MA
388,1844,49057,42.73,-71.19,Methuen,6,MA
389,1845,29705,42.67,-71.08,North Andover,6,MA
390,1850,16394,42.66,-71.3,Lowell,1,MA
391,1851,30026,42.62,-71.34,Lowell,2,MA
392,1852,34332,42.63,-71.3,Lowell,2,MA
393,1854,29204,42.65,-71.35,Lowell,2,MA
394,1860,6695,42.84,-71.01,Merrimac,3,MA
395,1862,11134,42.57,-71.29,North Billerica,4,MA
396,1863,9103,42.63,-71.39,North Chelmsford,2,MA
397,1864,15476,42.58,-71.08,North Reading,4,MA
398,1867,24935,42.53,-71.1,Reading,3,MA
399,1876,29692,42.61,-71.23,Tewksbury,4,MA
400,1879,12133,42.66,-71.43,Tyngsboro,5,MA
401,1880,26062,42.5,-71.07,Wakefield,3,MA
402,1886,23850,42.59,-71.44,Westford,6,MA
403,1887,23310,42.57,-71.17,Wilmington,5,MA
404,1890,22491,42.45,-71.15,Winchester,3,MA
405,1901,1637,42.462,-70.946,Lynn,0.454545455,MA
406,1902,47081,42.47,-70.94,Lynn,2,MA
407,1904,17103,42.49,-70.97,Lynn,3,MA
408,1905,26209,42.47,-70.97,Lynn,2,MA
409,1906,27773,42.47,-71.01,Saugus,4,MA
410,1907,14418,42.48,-70.91,Swampscott,2,MA
411,1908,3471,42.44,-70.92,Nahant,2,MA
412,1913,17082,42.85,-70.95,Amesbury,4,MA
413,1915,40967,42.57,-70.86,Beverly,4,MA
414,1921,8198,42.68,-71.03,Boxford,6,MA
415,1922,2829,42.76,-70.92,Byfield,3,MA
416,1923,27419,42.58,-70.96,Danvers,3,MA
417,1929,3632,42.64,-70.78,Essex,4,MA
418,1930,29546,42.63,-70.69,Gloucester,6,MA
419,1937,139,42.58,-70.95,Hathorne,4,MA
420,1938,13682,42.7,-70.8,Ipswich,8,MA
421,1940,13143,42.54,-71.03,Lynnfield,3,MA
422,1944,5321,42.58,-70.76,Manchester,3,MA
423,1945,20363,42.51,-70.84,Marblehead,4,MA
424,1949,9514,42.6,-71.01,Middleton,4,MA
425,1950,17837,42.81,-70.87,Newburyport,5,MA
426,1951,4076,42.76,-70.85,Newbury,5,MA
427,1952,8899,42.85,-70.86,Salisbury,4,MA
428,1960,51948,42.53,-70.97,Peabody,4,MA
429,1966,7167,42.66,-70.61,Rockport,3,MA
430,1969,6145,42.72,-70.89,Rowley,6,MA
431,1970,42650,42.52,-70.91,Salem,3,MA
432,1982,8136,42.63,-70.86,South Hamilton,4,MA
433,1983,6434,42.64,-70.94,Topsfield,3,MA
434,1984,5135,42.6,-70.87,Wenham,4,MA
435,1985,4484,42.79,-70.97,West Newbury,3,MA
436,2019,16833,42.08,-71.47,Bellingham,6,MA
437,2021,22562,42.18,-71.12,Canton,4,MA
438,2025,8316,42.23,-70.82,Cohasset,3,MA
439,2026,25272,42.25,-71.18,Dedham,3,MA
440,2030,5864,42.24,-71.29,Dover,4,MA
441,2032,4070,42.15,-71.22,East Walpole,1,MA
442,2035,17348,42.06,-71.23,Foxboro,4,MA
443,2038,32873,42.09,-71.41,Franklin,5,MA
444,2043,22901,42.22,-70.88,Hingham,5,MA
445,2045,10437,42.31,-70.89,Hull,4,MA
446,2047,47,42.136,-70.691,Humarock,0.113636364,MA
447,2048,23615,42.02,-71.22,Mansfield,4,MA
448,2050,25961,42.1,-70.7,Marshfield,8,MA
449,2052,12510,42.18,-71.31,Medfield,3,MA
450,2053,13135,42.16,-71.43,Medway,4,MA
451,2054,8110,42.17,-71.36,Millis,3,MA
452,2056,11442,42.12,-71.33,Norfolk,3,MA
453,2061,10845,42.15,-70.82,Norwell,5,MA
454,2062,29018,42.18,-71.2,Norwood,3,MA
455,2066,17978,42.21,-70.77,Scituate,5,MA
456,2067,18066,42.11,-71.19,Sharon,5,MA
457,2071,1686,42.1,-71.27,South Walpole,0.852272727,MA
458,2072,28260,42.12,-71.1,Stoughton,4,MA
459,2081,19481,42.15,-71.26,Walpole,5,MA
460,2090,15364,42.22,-71.2,Westwood,4,MA
461,2093,11483,42.05,-71.37,Wrentham,6,MA
462,2108,4049,42.358,-71.064,Boston,0.681818182,MA
463,2109,4015,42.363,-71.054,Boston,0.625,MA
464,2110,2124,42.359,-71.054,Boston,0.625,MA
465,2111,7564,42.351,-71.061,Boston,0.511363636,MA
466,2113,7495,42.365,-71.055,Boston,0.284090909,MA
467,2114,13001,42.363,-71.066,Boston,0.681818182,MA
468,2115,28976,42.34,-71.1,Boston,1,MA
469,2116,23004,42.35,-71.08,Boston,0.965909091,MA
470,2118,27664,42.34,-71.07,Boston,1,MA
471,2119,26833,42.32,-71.08,Roxbury,1,MA
472,2120,15322,42.33,-71.1,Roxbury Crossing,0.965909091,MA
473,2121,28029,42.31,-71.08,Dorchester,1,MA
474,2122,24624,42.29,-71.05,Dorchester,2,MA
475,2124,52986,42.29,-71.07,Dorchester Center,2,MA
476,2125,36353,42.32,-71,Dorchester,5,MA
477,2126,29531,42.28,-71.09,Mattapan,1,MA
478,2127,36311,42.33,-71.04,Boston,2,MA
479,2128,46208,42.37,-71.02,Boston,2,MA
480,2129,18314,42.38,-71.06,Charlestown,1,MA
481,2130,39316,42.31,-71.12,Jamaica Plain,2,MA
482,2131,32459,42.28,-71.12,Roslindale,2,MA
483,2132,28292,42.28,-71.16,West Roxbury,2,MA
484,2134,17598,42.36,-71.13,Allston,1,MA
485,2135,40513,42.35,-71.15,Brighton,2,MA
486,2136,31762,42.25,-71.13,Hyde Park,2,MA
487,2138,37067,42.38,-71.13,Cambridge,2,MA
488,2139,36338,42.36,-71.1,Cambridge,1,MA
489,2140,19604,42.39,-71.13,Cambridge,1,MA
490,2141,13059,42.37,-71.08,Cambridge,1,MA
491,2142,2807,42.36,-71.08,Cambridge,0.738636364,MA
492,2143,26800,42.38,-71.1,Somerville,2,MA
493,2144,24475,42.4,-71.12,Somerville,1,MA
494,2145,26006,42.39,-71.09,Somerville,1,MA
495,2148,60812,42.43,-71.05,Malden,2,MA
496,2149,44496,42.41,-71.05,Everett,2,MA
